12M,"  LUZ,  F.C.I OLD,  PONDY BAZAAR,  ANJUGAM SCHOOL,  GOVT. GIRLS H.SC,  K.K.NAGAR,  K.K.NAGAR WEST,  VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR"
,
12X,"  SANTHOME P.O,  LUZ,  F.C.I OLD,  PONDY BAZAAR,  BHARATHI NAGAR(PERIYAR PATAHI),  TRUSTPURAM,  VADAPALANI P.S.,  M.M.D.A.COLONY RD.JN."
,
13,"  VANIMAHAL,  SUN THEATER,  CORPN. PLAY GROUND,  WESLEY H.S,  TRIPLICANE,  CHEPAUK,  SECRETARIAT"
,
142,"  VEENUS,  S.R.P. COLONY,  KOLATHUR"
,
142B,"  M.G.R.CENTRAL,  DOVETON,  P1.POLICE STATION,  GANESH PURAM,  PERAMBUR,  VEENUS,  S.R.P. COLONY"
,
142P,"  VEENUS,  S.R.P. COLONY,  KOLATHUR,  VINAYAGAPURAM"
,
147A,"  PONDY BAZAAR,  VIDYODAYA,  STERLING RD./METROLOG. DEPT.,  NUNGAMBAKKAM R.S.,  HOTEL ARUN,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  FIRE STATION"
,
147B,"  PONDY BAZAAR,  VIDYODAYA,  PUSHPA NAGAR,  NUNGAMBAKKAM R.S.,  HOTEL ARUN,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  MOGAPPAIR ROAD JN"
,
147C,"  DUNLOP,  AMBATTUR I.E.,  MOGAIPAIR ROAD JN.,  THIRUMANGALAM,  ANNA NAGAR CIRCLE,  HOTEL ARUN,  NUNGAMBAKKAM R.S.,  STERLING RD./METROLOG. DEPT.,  UTHAMAR GANDHISALAI (CORP.OFF),  VIDYODAYA,  PONDY BAZAAR"
,
147V,"  VINAYAGAR KOIL,  THIRUMULLAIVOYAL,  AMBATTUR O.T.,  DUNLOP,  MOGAIPAIR ROAD JN.,  THIRUMANGALAM,  ANNA NAGAR CIRCLE,  HOTEL ARUN,  NUNGAMBAKKAM R.S.,  STERLING RD./METROLOG. DEPT.,  UTHAMAR GANDHISALAI (CORP.OFF),  VIDYODAYA,  PONDY BAZAAR"
,
